dataset_caption,pos_sims,neg_sims,url
white towels drying on the clothes line against a blue sky,0.5720335007575715,0.49215702127694244,http://c8.alamy.com/comp/JM8NWG/the-weekly-wash-hanging-out-to-dry-on-a-clothes-line-set-against-azure-JM8NWG.jpg
a open drawer with a variety of different colored towels and clothing,0.5536442170283365,0.4809674990620413,https://organisemyhouse.com/wp-content/uploads/2016/01/607d.-starting-to-fill-part-2.jpg
the bed is made with many towels and some remotes,0.5251156069583937,0.5741684153898223,https://q-cf.bstatic.com/images/hotel/max1024x768/127/127946094.jpg
"hot bath, hand towels and soapfree poster",0.5615119024381745,0.4596697073595704,https://ae01.alicdn.com/kf/HTB1twrHPXzqK1RjSZFoq6zfcXXao/Modern-Bath-Canvas-Painting-Bathroom-Picture-Home-Decor-Wall-Art-Prints-For-Bathroom-No-Frame-Poster.jpg_q50.jpg
a room with two yellow towels and pillows,0.5517751663650455,0.5819777927977096,https://q-cf.bstatic.com/images/hotel/max1024x768/167/167312245.jpg
a washing machine with baskets and towels in a laundry room,0.5012486598857048,0.41329435453944463,"https://images.shipsmart.com/images/blog/large/moving-the-laundry-room.jpg?v=1.00&imgeng=/w_auto,950"
towels stacked in a rack on the wall in the hotel room hotel bathroom towels stacked in a rack on the,0.5981034055242559,0.6385050837110766,https://thumbs.dreamstime.com/b/cabinet-towels-which-twisted-roll-black-white-87694952.jpg
two beds are in the room with towels on them,0.5142373986043136,0.5746615509753986,https://r-cf.bstatic.com/images/hotel/max1024x768/213/213333095.jpg
woman holding towels in a hotel room,0.5654401668065355,0.616723247762346,https://image.freepik.com/free-photo/close-up-young-hotel-maid-holding-clean-folded-towels_23-2148033217.jpg
a bed with white linens and a tray of towels on it,0.6910843117809149,0.6349376473247378,https://q-cf.bstatic.com/images/hotel/max1024x768/228/228646307.jpg
girl with her water bucket and towels around her shoulders,0.4125086645412731,0.5161927729280221,https://plancanada.ca/giftsofhope/images/Product/medium/134.jpg
a bathroom with white towels and a lighted vanity,0.5666453940747458,0.5231170249661765,https://i1.wp.com/metro.co.uk/wp-content/uploads/2016/03/deluxebathroomvanity_hr.jpg?quality=90&strip=all&zoom=1&resize=725%2C0
