caption,url
a beautiful sunrise in the distance behind a taj mahal and a boat on the river,https://images.robertharding.com/preview/RF/RH_RF/VERTICAL/1158-345.jpg
the taj mahal mahal palace,https://elephanta.co.in/wp-content/uploads/2014/02/Taj-Mahal-Hotel-in-Mumbai.jpg
taj mahal mausoleum with beautiful blue sky background stock photography,https://thumbs.dreamstime.com/b/ivory-white-facade-taj-mahal-calligraphy-wall-ivory-white-facade-taj-mahal-calligraphy-walls-122520244.jpg
"a woman stands in front of the taj mahal, which is now the mausoleum",https://m.hindustantimes.com/rf/image_size_800x600/HT/p1/2012/01/20/Incoming/Pictures/799715_Wallpaper2.jpg
the taj mahal mausoleum from the yamunli river in india,https://images.robertharding.com/preview/RF/RH_M_RF/HORIZONTAL/794-2969.jpg
a man and a woman standing in front of the huml huml at the taj mahal mausoleum,https://static1.squarespace.com/static/537377c4e4b0a4617ea51e1d/t/54f970f8e4b08a345af4088d/1425633567406/
"the taj mahal mahal hotel, built in 1897, is seen at the waterfront of mumbai city","https://img.etimg.com/thumb/msid-47849084,width-640,resizemode-4,imgsize-68747/5-things-that-make-mumbai-an-expensive-city.jpg"
a poster of bollywood movie taj mahal,https://im.rediff.com/movies/2013/mar/07royals-in-bollywood5.jpg
"the taj mahal mosque is a famous monument in agra, india and is located in a beautiful garden with",https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/entering-the-taj-mahal-at-the-sunrise-agra-india-watercolor-by-adam-asar-celestial-images.jpg
"the taj mahal, a mausoleum and reflecting pond in the middle of a lake",https://www.travelnation.co.uk/sites/default/files/india_agra_taj_mahal_sunset.jpg
a black and white drawing of the taj mahal on a coloring page,https://cdn3.minted.com/files/mintedProductsImages/MIN/MGA/WVF/20180827020618/art_group-unframed/artist_signature-unsigned/border-full_bleed/color-a/image_type-product/800x800/the-taj-mahal-in-pen.jpg?mntd_prf=Pdp:HeroImage
an open doorway to the taj mahal mausoleum,https://img.freepik.com/free-photo/views-entrance-indian-temple_119635-5.jpg?size=626&ext=jpg
"a lego taj mahal building kit, on a white background",https://assets.newatlas.com/dims4/default/c1de99b/2147483647/strip/true/crop/6397x4888+0+0/resize/1256x960!/quality/90/?url=http%3A%2F%2Fnewatlas-brightspot.s3.amazonaws.com%2Farchive%2Flego-taj-mahal-7.jpg
the taj mahal palace in lake pic credit flick,https://www.inspiredcitizen.com/wp-content/uploads/2013/09/Lake-Palace-Hotel-Udaipur8-1024x576.jpg
the gardens and buildings at taj mahal,https://cdnp.iconscout.com/photo/free/thumb/front-view-of-humayuns-tomb-a-indian-tourist-place-1855572-1576226.jpg
taj mahal illustration royalty illustration,https://thumbs.dreamstime.com/b/silhouette-taj-mahal-india-computer-generated-d-illustration-80255205.jpg
the main entrance to the taj mahal building in agra agra,http://static.flickr.com/1244/1127132001_eb76b9eb65.jpg
"the taj mahal, mausoleum in agra, uttar uttar pradesh pradesh, india",http://indiatourism.ws/uttar_pradesh/agra/taj_mahal/56.jpg
the taj mahal hotel from mumbai,https://vistapointe.net/images/the-taj-mahal-palace-hotel-wallpaper-11.jpg
"the taj mahal, a white marble mausoleum with dome shaped building in mughal style",https://i.pinimg.com/originals/75/a4/fe/75a4fee6a29247b862a161906a230023.jpg
"the taj mahal mausoleum with a reflecting pool in the foreground, and some trees lining the road",https://lovefortravel.co.uk/wp-content/uploads/2018/09/travel-2334252_960_720.jpg
"a view through an archway to the taj mahal temple in agra, india",https://a.travel-assets.com/findyours-php/viewfinder/images/res40/62000/62066-Taj-Mahal.jpg
a man walks along the bank of the yamun river as he uses his reflection of the taj mahal,http://www.phaidon.com/resource/steveindiaoneagain.jpg
"prince person of monaco, with his children princess person and prince person pose in front of the taj mahal",https://editorial01.shutterstock.com/wm-preview-1500/9420856a/2f8adf84/justin-trudeau-with-his-family-at-the-taj-mahal-agra-india-shutterstock-editorial-9420856a.jpg
"the taj mahal mosque, a mausoleum in india watercolor sketch handmade drawing",https://image.shutterstock.com/image-illustration/marble-mausoleum-indian-city-agra-600w-456041461.jpg
an amazing sunrise or sunset over the taj mahal and reflection of water stock illustration,https://thumbs.dreamstime.com/b/vector-background-mosques-minarets-to-holiday-mubar-mubarak-56312041.jpg
"the taj mahal mausoleum with a long reflection in the water in the garden, agra fort, agra,",https://cdn.shopify.com/s/files/1/0005/6200/4023/products/82159710_xl_4_900x.jpg?v=1577699513
"the taj mahal mahal mahal hotel, mumbai, maharashtra india mumbai, mumbai india, mumbai mumbai, honeymoon",https://vistapointe.net/images/the-taj-mahal-palace-hotel-3.jpg
"the taj mahal, the white monument in which agra was built",http://static.flickr.com/3262/2817465360_73972600f5.jpg
the dome in the palace of the taj mahal,https://media-cdn.tripadvisor.com/media/photo-s/07/04/52/8d/firoz-shah-tughlaq-tomb.jpg
the taj mahal mausoleum and garden in india,https://static1.squarespace.com/static/5554d4b8e4b0efc8c23a3f64/5554dacfe4b03e51f690bc28/5e46b175f95e7200aa7531a4/1581700882686/Taj+Mahal.jpg?format=1500w
a taj mahal the mosque in india,https://slideplayer.com/slide/5698486/18/images/11/This+photograph+shows+2+lines+of+symmetry.jpg
"the taj mahal, the white marble mausoleum in the middle of the yamuna river",https://www.newskarnataka.com/storage/photos/shares/dry_yamuna_002.jpg
"a woman in a pink sari stands in front of the taj mahal, a large white marble building",https://s28838.pcdn.co/wp-content/uploads/2019/01/shutterstock_1036002985.jpg.optimal.jpg
"the taj mahal, reflected in the water",https://alumni.iu.edu/images/travel/trip-thumbnails/india.jpg
"taj mahal palace in mumbai, the former person's palace",https://media-cdn.tripadvisor.com/media/photo-s/12/8e/42/2b/an-iconic-hotel.jpg
"a woman sitting on the side of taj mahal, india, looking off into the distance",https://thetravelintern.com/wp-content/uploads/2016/07/Taj-Mahal-Photography-Guide-6.jpg
"the exterior of the taj mahal, with its two minans and the domed white building",https://i.pinimg.com/originals/51/1f/fa/511ffa3139a31d7e6dc78d86af1fe7c0.jpg
"the taj mahal, india's white marble monument with its dome and mina",http://static.flickr.com/2376/2248772475_3e87728fc0.jpg
the taj mahal mausoleum and its two minates are seen from a nearby garden,http://3.bp.blogspot.com/-lmqoa17Cixk/VHgXKX9LIiI/AAAAAAAAASw/hwlknCII1Tg/s1600/7-Most-Popular-Tourist-Attractions-Around-the-World5.jpg
an image of a taj mahal in the sunrise,https://admin.freetour.com/images/tours/3483/same-day-taj-mahal-sunrise-tour-01.jpg
a farmer is plowing his land with a bullocker in front of the taj mahal mausoleum uttar india,https://media.gettyimages.com/photos/the-taj-mahal-is-a-mausoleum-that-was-built-between-1632-and-1648-by-picture-id542378238?s=612x612
the white marble dome and columns of the taj mahal,"https://img.traveltriangle.com/attachments/pictures/854918/original/Taj_Mahal.jpg?tr=w-583,h-406"
"the 50 euro coin is an image of the taj mahal, the world's famous monument",https://www.coin-database.com/images/France/1856-v.jpg
"a misty sunset and silhouette of the taj mahal, with birds flying by in the foreground",http://blog.gianlucacolla.eu/wp-content/uploads/2015/05/130119_INDIA_03539-1024x682.jpg
"the taj mahal mausoleum in uttar, india",https://www.indiamike.com/files/images/47/79/01/taj-mahal-in-the-fog.jpg
black and white photograph of the taj mahal in agra,https://c4.wallpaperflare.com/wallpaper/358/575/770/the-taj-wallpaper-preview.jpg
the taj mahal mausoleum is the largest building in the world,http://slideplayer.com/8569227/26/images/7/The+greatest+example+of+the+Mughal+Empire%E2%80%99s+architecture+is+the+Taj+Mahal%2C+which+was+built+in+1631.jpg
taj mahal a white building with a dome,https://images.slideplayer.com/29/9441497/slides/slide_22.jpg
beautiful arabic door at the taj mahal,https://i.pinimg.com/originals/10/f8/e3/10f8e3e1ab02399b6c2746a95f68a438.jpg
"the taj mahal palace hotel in mumbai, india",https://i.pinimg.com/originals/d4/ba/8f/d4ba8fb7932270ff9dd2f556fc0bcdc5.jpg
the taj mahal train that is going to take tourists from agra to agra,http://supermp3recorder.com/wp-content/uploads/2012/05/tumblr_m4cviusTSR1rrtakto1_1280.jpg
a girl in a white dress at the taj mahal,https://render.fineartamerica.com/images/rendered/medium/wood-print/images-medium-5/veruschka-wearing-a-teal-traina-dress-henry-clarke.jpg
"the taj mahal, india, at sunrise with fog",https://render.fineartamerica.com/images/images-profile-flow/400/images/artworkimages/mediumlarge/1/taj-mahal-in-the-mist-inge-johnsson.jpg
"group of family members outside the taj mahal mosque, agra agra, india",https://previews.agefotostock.com/previewimage/medibigoff/0cb36a9f485eedc17967421dd588c83d/vig-4930113.jpg
a calendar with a image of the taj mahal and reflection in the water,https://cdn.shopify.com/s/files/1/2171/5385/products/9781477066027-ins_1024x.jpg?v=1572359102
the taj mahal in the early morning,https://images.robertharding.com/preview/RF/RH_RF/HORIZONTAL/1158-341.jpg
a reflection in the water is shown as a picture of the taj mahal,https://thepointsguy.com/wp-content/uploads/2015/07/GateSepia.jpg
the taj mahal mahal mahal mahal is a luxury hotel in mumbai,https://pix10.agoda.net/hotelImages/2307369/0/70773973bbb649c0014c0845c00eead9.jpg?s=1024x768
